状态栈后10个                                           符号栈后10个                                           输入前10个                                            动作                                                
0 1 6 14 45 186 52 142                            stmts id2 = term * ( join                         ) / ( - c + a % 2 )                               (142,))→r16：根据bool→join归约：将状态栈和符号栈都出栈1个，再将bool加到符号栈里，再(52,bool)→197
0 1 6 14 45 186 52 197                            stmts id2 = term * ( bool                         ) / ( - c + a % 2 )                               (197,))→s432
0 1 6 14 45 186 52 197 432                        stmts id2 = term * ( bool )                       / ( - c + a % 2 ) -                               (432,/)→r37：根据factor→( bool ) 归约：将状态栈和符号栈都出栈3个，再将factor加到符号栈里，再(186,factor)→49
0 1 6 14 45 186 49                                stmts id2 = term * factor                         / ( - c + a % 2 ) -                               (49,/)→r36：根据unary→factor归约：将状态栈和符号栈都出栈1个，再将unary加到符号栈里，再(186,unary)→426
0 1 6 14 45 186 426                               stmts id2 = term * unary                          / ( - c + a % 2 ) -                               (426,/)→r30：根据term→term * unary 归约：将状态栈和符号栈都出栈3个，再将term加到符号栈里，再(14,term)→45
0 1 6 14 45                                       stmts id2 = term                                  / ( - c + a % 2 ) -                               (45,/)→s187
0 1 6 14 45 187                                   stmts id2 = term /                                ( - c + a % 2 ) - 1.23e4                          (187,()→s52
0 1 6 14 45 187 52                                stmts id2 = term / (                              - c + a % 2 ) - 1.23e4 /                          (52,-)→s149
0 1 6 14 45 187 52 149                            stmts id2 = term / ( -                            c + a % 2 ) - 1.23e4 / (                          (149,id)→s173
0 1 6 14 45 187 52 149 173                        stmts id2 = term / ( - id                         + a % 2 ) - 1.23e4 / ( 0.5e2                      (173,+)→r76：根据id2→id归约：将状态栈和符号栈都出栈1个，再将id2加到符号栈里，再(149,id2)→154
0 1 6 14 45 187 52 149 154                        stmts id2 = term / ( - id2                        + a % 2 ) - 1.23e4 / ( 0.5e2                      (154,+)→r38：根据factor→id2归约：将状态栈和符号栈都出栈1个，再将factor加到符号栈里，再(149,factor)→150
0 1 6 14 45 187 52 149 150                        stmts id2 = term / ( - factor                     + a % 2 ) - 1.23e4 / ( 0.5e2                      (150,+)→r36：根据unary→factor归约：将状态栈和符号栈都出栈1个，再将unary加到符号栈里，再(149,unary)→362
0 1 6 14 45 187 52 149 362                        stmts id2 = term / ( - unary                      + a % 2 ) - 1.23e4 / ( 0.5e2                      (362,+)→r35：根据unary→- unary归约：将状态栈和符号栈都出栈2个，再将unary加到符号栈里，再(52,unary)→147
